Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,
"C10, C9",0402,2,0.1uF,
"C11, C12",0402,2,1uF,
"C13, C14, C15, C16, C17, C18, C20, C21, C6",0402,9,100nF,
C19,0402,1,2.2uF,
"C3, C4, C8",0402,3,10uF,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
LED1,LED0603-RD,1,KT-0603R,C2286
"LEDS1, LEDS2, LEDS3",ledstrip_3pin_withpins,3,ledstrip_3pin_10mm,
MIC1,LGA-6_L4.7-W3.8-P1.65_LMD4737T,1,LMD4737T263-OY1,C5373239
"R1, R2",0402,2,5.1K,
"R12, R13",0402,2,220,
"R24, R25, R6",0402,3,10k,
"R3, R4",0402,2,22,
"R5, R7",0402,2,1K,
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
